GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
1733,2023,1,SJSU,CP,,,,,0,0,0,0,0,0,0,Dr_Novella,AI,,CEFCU Stadium,San Jose,CA,,
1734,2023,1,USM,UNLV,,,,,0,0,0,0,0,0,0,AI,ChizDippler,,Carlisle-Faulkner Field at M.M. Roberts Stadium,Hattiesburg,MS,,
1735,2023,1,CCU,FRES,,,,,0,0,0,0,0,0,0,AI,tjrandall12,,Brooks Stadium,Conway,SC,,
1736,2023,1,STAN,GEOT,,,,,0,0,0,0,0,0,0,Ricky Campbell,AI,,Stanford Stadium,Stanford,CA,,
1737,2023,1,USC,UKEN,,,,,0,0,0,0,0,0,0,fusion82,Ezaco,,Los Angeles Memorial Coliseum,Los Angeles,CA,,
1738,2023,1,UTAH,IDHO,,,,,0,0,0,0,0,0,0,SageBow,AI,,Rice-Eccles Stadium,Salt Lake City,UT,,
1739,2023,1,MRSH,MIZZ,,,,,0,0,0,0,0,0,0,DramaticBacon,anonemuss,,Joan C. Edwards Stadium,Huntington,WV,,
1740,2023,1,VAND,USA,,,,,0,0,0,0,0,0,0,Vernal14,Dunepit,,Vanderbilt Stadium,Nashville,TN,,
1741,2023,1,ODU,LSU,,,,,0,0,0,0,0,0,0,AI,cmcgill,,Foreman Field at S. B. Ballard Stadium,Norfolk,VA,,
1742,2023,1,TROY,AUB,,,,,0,0,0,0,0,0,0,BaseScoutX1,gorjaun,,Veterans Memorial Stadium at Larry Blakeney Field,Troy,AL,,
1743,2023,1,MSST,MSVU,,,,,0,0,0,0,0,0,0,BigGuwop11,AI,,Davis Wade Stadium at Scott Field,Starkville,MS,,
1744,2023,1,HARV,FUR,,,,,0,0,0,0,0,0,0,AI,AI,,Harvard Stadium,Cambridge,MA,,
1745,2023,1,BCU,SAM,,,,,0,0,0,0,0,0,0,AI,AI,,Daytona Stadium,Daytona Beach,FL,,
1746,2023,1,BRWN,WOF,,,,,0,0,0,0,0,0,0,AI,AI,,Brown Stadium,Providence,RI,,
1747,2023,1,ETSU,MOST,,,,,0,0,0,0,0,0,0,AI,AI,,William B. Greene Jr. Stadium,Johnson City,TN,,
